business_name,legal_entity_name,physical_address,county,phone,email,license_number,expiration
The Green Standard Starkville LLC,Meteorite Holdings LLC,"612 HIGHWAY 12 E STARKVILLE, MS 39759",53-OKTIBBEHA,7084154087,daren@dnaholdingsllc.com,DSPY004753,2026-07-26
Hybrid LLC,,"1801 JACKSON AVE W A OXFORD, MS 38655",36-LAFAYETTE,6629342121,hemphealthms@gmail.com,DSPY007236,2026-08-01
Cox-Blythe Dispensary Inc,,"106 Ridgemont Villa BOONEVILLE, MS 38829",59-PRENTISS,6624168431,mkb1990@yahoo.com,DSPY000359,2026-07-22
Holistika LLC,Holistika,"2009 MILITARY RD COLUMBUS, MS 39701",44-LOWNDES,6624970795,glenn@holistikallc.com,DSPY013744,2026-10-21
"Spillway Dispensary, LLC",,"1220 N SHORE PKWY BRANDON, MS 39047",61-RANKIN,6012912100,lefleurpandr@yahoo.com,DSPY001561,2026-07-25
"Magnolia Medical Cannabis Company, LLC",,"2570 JACKSON AVE W OXFORD, MS 38655",36-LAFAYETTE,9014819862,ross@magnolia-cannabis.com,DSPY007536,2026-08-01
Danknolia cannabis llc,,"5225 HIGHWAY 18 W JACKSON, MS 39209",25-HINDS,4055326633,emailshzam@yahoo.com,DSPY003025,2026-07-26
PINE BELT MEDICINAL,"Meskwaki Nation, Sac & Fox Tribe of the Mississippi in Iowa, Hinds Holdings, LLC, EBC Investment Holdings, LLC","3702 HARDY ST HATTIESBURG, MS 39402",18-FORREST,6019181851,william.chism@riverremedyms.com,DSPY003418,2026-07-26
Danknolia cannabis llc,,"1335 ELLIS AVE JACKSON, MS 39204",25-HINDS,4055326633,emailshzam@yahoo.com,DSPY009625,2026-08-09
Cleveland Cannabis Company LLC,,"3620 U.S. Hwy 61N CLEVELAND, MS 38732",06-BOLIVAR,6628461716,tjanoush@wesjan.com,DSPY006406,2026-07-28
The Green Standard Grenada LLC,Meteroite Holdings LLC,"1223 SUNSET DR GRENADA, MS 38901",22-GRENADA,7084154087,daren@mygreenstandard.com,DSPY005522,2026-07-28
"Interstellar Tupelo, LLC","Rt2, OFFSET CC LLC, BEBE HOLDINGS, LLC, Mama's Boys Investments, LLC, Canna ops llc","3978 N GLOSTER ST TUPELO, MS 38804",41-LEE,6017074039,tupelo@ignitems.com,DSPY000641,2026-07-22
"BioSciences of Mississippi, LLC",,"241 OLD HIGHWAY 98 E N/A TYLERTOWN, MS 39667",74-WALTHALL,1504905875,jeffschmidtke@gmail.com,DSPY008974,2026-08-02
"SB Pearl, LLC","RTG Holdings, LLC, Mississippi Health Consultants, LLC, SB Pearl, LLC","190 RIVERWIND DR PEARL, MS 39208",61-RANKIN,6624570088,doug@starbuds.us,DSPY004961,2026-07-26
The Green Standard LLC,Meteroite Holdings LLC,"310 HIGHWAY 16 W CARTHAGE, MS 39051",40-LEAKE,7084154087,daren@dnaholdingsllc.com,DSPY005175,2026-07-27
Sunflower Holdings LLC,,"232 DEBUYS RD BILOXI, MS 39531",24-HARRISON,2289677029,info@coastalcapitaldispensary.com,DSPY002824,2026-07-26
Magnolia Greens LLC,Magnolia Greens,"101 WHITEBROOK DR BROOKHAVEN, MS 39601",43-LINCOLN,6628974550,densan2006@gmail.com,DSPY007643,2026-08-01
"Legally Rooted Cannabis Dispensary, LLC",,"1800 6TH ST MERIDIAN, MS 39301",38-LAUDERDALE,6015122140,dispensary@legallyrootedcannabis.com,DSPY000738,2026-07-22
Five Star Medical,,"409 NORFLEET DR SENATOBIA, MS 38668",69-TATE,6625010234,fivestarmedicalcompany@gmail.com,DSPY008669,2026-08-02
BWD County Line LLC,"Strategic Holdings, LLC, Quality Roots MS, LLC, Blue Note Holdings, LLC","1051 E COUNTY LINE RD JACKSON, MS 39211",25-HINDS,6017503347,davidrula23@gmail.com,DSPY005725,2026-07-28
Mary Jane & Herb's LLC,,"135 THORNHILL DR HATTIESBURG, MS 39402",37-LAMAR,6012977517,michaelhad@msn.com,DSPY001837,2026-07-25
WYZE 1 llc,,"2348 MOUNT PLEASANT RD HERNANDO, MS 38632",17-DESOTO,6629124033,wyld1415@gmail.com,DSPY008717,2026-08-02
Zack Hemp LLC,,"3023 GOODMAN RD W HORN LAKE, MS 38637",17-DESOTO,9018482151,wyld3023@gmail.com,DSPY002054,2026-07-25
Lift Medical Cannabis,,"2981 HARRAHS PARKWAY S EXT ROBINSONVILLE, MS 38664",72-TUNICA,9195259979,collardgreensllc@gmail.com,DSPY000872,2026-07-22
Cannacare LLC,CannaCare LLC,"111 S INDUSTRIAL RD TUPELO, MS 38801",41-LEE,6628719522,cannacarellc22@gmail.com,DSPY002141,2026-07-25
"Culture Biloxi Shop, Inc.","JL Skylegacy Inc., DBJ La Mesa Corp","2572 PASS RD BILOXI, MS 39531",24-HARRISON,6192772827,devon@culturecannabisclub.com,DSPY009224,2026-08-03
High Hopes Cannabis LLC,,"1201 N GLOSTER ST TUPELO, MS 38804",41-LEE,6625234440,truong_pham@hotmail.com,DSPY000941,2026-07-22
"Medical Cannabis of MS, LLC",,"717 N DAVIS AVE CLEVELAND, MS 38732",06-BOLIVAR,6625459333,medcanms@gmail.com,DSPY002206,2026-07-25
BWD Meridian LLC,"Strategic Holdings, LLC, Quality Roots MS, LLC, Blue Note Holdings, LLC","300 N FRONTAGE RD MERIDIAN, MS 39301",38-LAUDERDALE,6017503347,davidrula23@gmail.com,DSPY005438,2026-07-28
"The Cannabis Company, Inc.",,"939 BROOKWAY BLVD BROOKHAVEN, MS 39601",43-LINCOLN,6015731644,leannepenn3@gmail.com,DSPY002343,2026-07-25
Interstellar,"High Bluff Farms, LLC., Offset CC, LLC, Unlimited Ascent, LLC.","5440 I 55 FRONTAGE RD N JACKSON, MS 39211",25-HINDS,6016297536,jackson@ignitems.com,DSPY004025,2026-07-26
The Highest Care L.L.C,The Highest Care L.L.C,"2 SERGEANT PRENTISS DR NATCHEZ, MS 39120",01-ADAMS,6018705042,tabitha.wroten@gmail.com,DSPY003501,2026-07-26
"Kelly's Green, Inc.","Puff Puff Give, LLC","20 RAWLS SPRINGS LOOP RD HATTIESBURG, MS 39402",18-FORREST,7074727446,bnicholson@kellysgreen.com,DSPY006018,2026-07-28
Coast Dispensary Inc,,"913 DIVISION ST BILOXI, MS 39530",24-HARRISON,2282397500,coastdispensary167@gmail.com,DSPY009724,2026-08-09
Green Therapy LLC,,"5004 LINCOLN ROAD EXT HATTIESBURG, MS 39402",37-LAMAR,6012970140,blueskyent@bellsouth.net,DSPY005037,2026-07-27
Uptown Funk LLC,,"1625 E COUNTY LINE RD JACKSON, MS 39211",25-HINDS,6015729243,kathy@uptownfunkcc.com,DSPY009925,2026-08-17
"Local Remedy, LLC","Local Remedy MS, LLC","1887 PASS RD STE 311 BILOXI, MS 39531",24-HARRISON,6016226897,compliance@rootdownms.com,DSPY010024,2026-08-17
"Kudzu Cannabis Company, LLC",,"4678 I 55 FRONTAGE RD N JACKSON, MS 39211",25-HINDS,6014149333,jared@kudzucc.com,DSPY010425,2026-08-24
"SweetGrass MS, LLC",,"2650 BEACH BLVD BILOXI, MS 39531",24-HARRISON,3074218332,abreu.guidry@gmail.com,DSPY010224,2026-08-23
"River Remedy Byram Dispensary, LLC","Meskwaki Nation, Sac & Fox Tribe of the Mississippi in Iowa, Hinds Holdings LLC, EBC Investment Holdings LLC","5925 I 55 S BYRAM, MS 39272",25-HINDS,6019181851,brad@chismstrategies.com,DSPY010125,2026-08-19
Cultivated Wellness Dispensary NO.3,,"12407 HIGHWAY 49 GULFPORT, MS 39503",24-HARRISON,9706309722,troddy1965@gmail.com,DSPY010624,2026-09-13
"Tru Source Medical Cannabis, LLC",,"4714 North Central Way Olive Branch, MS 38654",17-DESOTO,9012993293,clarence@tcp-agresearch.com,DSPY011017,2026-09-13
"The Magg Dispensary, LLC","Rebecca Stuart Boyd, Mary Boyd Pittman","901 HIGHWAY 45 N COLUMBUS, MS 39701",44-LOWNDES,6622516067,kpittman@themaggdispensary.com,DSPY010744,2026-09-13
"420 Bay St. Louis Dispensary, Inc.",,"200 HIGHWAY 90 APT 8 BAY ST. LOUIS, MS 39576",23-HANCOCK,2283285116,samfarea4@gmail.com,DSPY011223,2026-09-13
Arcane Enterprises,,"4241 HIGHWAY 49 DREW, MS 38737",67-SUNFLOWER,6627017696,klsmith@arcanemd.com,DSPY010867,2026-09-13
SB Oxford,"J9 Holdings, LLC, SAT, LLC, SB OXFORD, LLC","1319 N LAMAR BLVD OXFORD, MS 38655",36-LAFAYETTE,6624570088,doug@starbuds.us,DSPY011836,2026-09-21
"Toke and Tell Dispensary, LLC",,"55 S SERGEANT PRENTISS DR NATCHEZ, MS 39120",01-ADAMS,6018073833,tina-bruce@att.net,DSPY013801,2026-10-24
Strong River Disp LLC,,"1282 Beaver Dam Rd Lucedale, MS 39452",20-GEORGE,6015942285,afbbritton@yahoo.com,DSPY011664,2026-09-20
James B. Abraham LLC,,"618 GAINES HWY BOYLE, MS 38730",06-BOLIVAR,6627196635,bartabraham@gmail.com,DSPY012806,2026-10-12
Good Day Dispensary,,"450/450A Hwy 51 Batesville, MS 38606",54-PANOLA,6623866111,gooddaydispensary@gmail.com,DSPY014554,2026-11-15
Long Beach Dispensary LLC,Long Beach Disensary LLC,"520 E RAILROAD ST STE A LONG BEACH, MS 39560",24-HARRISON,2282096724,paul@jpaulbarberlaw.com,DSPY010924,2026-09-13
Toke and Tell Dispensary 2 LLC,,"Ellisville Blvd Laurel, MS 39440",34-JONES,6018073833,tina-bruce@att.net,DSPY011534,2026-09-16
"Yazoodp, LLC","Yazoodp, LLC","1212 JERRY CLOWER BLVD YAZOO CITY, MS 39194",82-YAZOO,6018328289,kanwaljit8289@gmail.com,DSPY012682,2026-10-10
Jamal Saeed,,"608 N GLOSTER ST TUPELO, MS 38804",41-LEE,6625230892,cannabisheadquarter@gmail.com,DSPY011341,2026-09-15
"Magnolia Dispensaries, LLC.","BRCC Holdings, LLC","3046 INDIANA AVE VICKSBURG, MS 39180",75-WARREN,6015402020,info@greentreewellnessms.com,DSPY012475,2026-10-06
Blaze Dispensary LLC,Wanda Farr,"101 WHEELER DR FULTON, MS 38843",29-ITAWAMBA,6623163238,thegreenguysfulton@gmail.com,DSPY012229,2026-09-28
Corinth Cannabis LLC,"Meskwaki Nation, Sac & Fox Tribe of the Mississippi in Iowa, Hinds Holdings, LLC, EBC Investment Holdings, LLC","1507 HIGHWAY 72 E CORINTH, MS 38834",02-ALCORN,6019181851,matthew@corinthcannabis.com,DSPY012002,2026-09-13
Bee's Buds,,"14313 STENUM ST BILOXI, MS 39532",30-JACKSON,8505549411,b.beesbuds@gmail.com,DSPY013030,2026-10-17
"Local Remedy, LLC","Local Remedy MS, LLC","1117 HIGHWAY 51 AND 98 STE 311 SUMMIT, MS 39666",57-PIKE,6015066585,localremedyms@gmail.com,DSPY012757,2026-10-10
Cultivated Wellness Dispensary NO.2,,"6690 U S HIGHWAY 98 HATTIESBURG, MS 39402",37-LAMAR,9706309722,troddy1965@gmail.com,DSPY012337,2026-09-29
"The Islands Dispensary, LLC",Flower Power 420 LLC,"3920 BIENVILLE BLVD OCEAN SPRINGS, MS 39564",30-JACKSON,2283002244,islandsdispensary@gmail.com,DSPY014730,2026-11-15
"Bud Barn, LLC.",,"15160 MS-67 STE A BILOXI, MS 39532",24-HARRISON,6012013718,slloyd55@gmail.com,DSPY014124,2026-11-07
DELTA DISPENSARY MAGNOLIA,BRANDON PAUL RIGGIO,"319 E BAY ST MAGNOLIA, MS 39652",57-PIKE,9859748781,bpriggio@gmail.com,DSPY013957,2026-10-27
Mississippi Magnolia Canna,Mississippi Magnolia Canna,"1223 HIGHWAY 45 N COLUMBUS, MS 39705",44-LOWNDES,6623640007,mississippimagnoliacanna@gmail.com,DSPY014644,2026-11-15
BWD Columbus LLC,"Stategic Holdings, LLC, Quality Roots MS, LLC, Blue Note Holdings, LLC","4072 HIGHWAY 45 N COLUMBUS, MS 39705",44-LOWNDES,6017503347,davidrula23@gmail.com,DSPY014844,2026-12-01
"The Magnolia Healing, LLC",,"20 MARKS RD OCEAN SPRINGS, MS 39564",30-JACKSON,6019069173,themagnoliams@gmail.com,DSPY015230,2026-12-02
Aeroma Dispensary Company LLC,,"6610 US-98 Hattiesburg, MS 39402",37-LAMAR,6019067385,info@aeromacannabis.com,DSPY014937,2026-12-01
Diamond Leaf,,"445 YACHT CLUB DR DIAMONDHEAD, MS 39525",23-HANCOCK,9857186907,ginampepe@aol.com,DSPY015123,2026-12-02
Zack Hemp LLC,,"4860 BETHEL RD OLIVE BRANCH, MS 38654",17-DESOTO,9018482151,vaporsmart2@gmail.com,DSPY015817,2026-12-29
Evergreen Dispensary LLC.,Evergreen Dispensary LLC.,"13170 HIGHWAY 6 W BATESVILLE, MS 38606",54-PANOLA,8652548697,evergreendispensary@outlook.com,DSPY015454,2026-12-09
"SB Natchez, LLC","Demzeva, LLC, Mississippi Health Consultants, LLC, Three Rivers Investments, LLC","135 HIGHWAY 61 S NATCHEZ, MS 39120",01-ADAMS,6624570088,doug@starbuds.us,DSPY015501,2026-12-19
"AllsWell Brands, LLC",,"110 S MAGNOLIA ST LAUREL, MS 39440",34-JONES,6625234440,truong_pham@hotmail.com,DSPY015334,2026-12-09
VooDoo Buds LLC,,"3214 SERVICE DR PEARL, MS 39208",61-RANKIN,3602186741,voodoobudsllc@gmail.com,DSPY015661,2026-12-29
"Bloom Medical Cannabis, LLC",,"110 N JERRY CLOWER BLVD YAZOO CITY, MS 39194",82-YAZOO,6014673232,m.alqadhi777@gmail.com,DSPY015982,2027-01-06
Dixon Dispensary LLC,,"11370 HIGHWAY 49 GULFPORT, MS 39503",24-HARRISON,2283801323,dixondispensaries@gmail.com,DSPY016324,2027-01-23
House of Buds,,"521 5TH ST SW MAGEE, MS 39111",64-SIMPSON,6012780511,Houseofbudsss@gmail.com,DSPY016464,2027-01-26
"SRT-MS JAN, LLC","Southern Roots Therapeutics of Mississippi, Inc.","4300 N STATE ST JACKSON, MS 39206",25-HINDS,6014141138,david@rootsremedyms.com,DSPY016525,2027-02-03
"Local Remedy, LLC","Local Remedy MS, LLC","110 BYRAM DR BYRAM, MS 39272",25-HINDS,6015066585,localremedyms@gmail.com,DSPY016725,2027-02-03
"Collinsville Wellness Dispensary, LLC",,"8990 HIGHWAY 19 N COLLINSVILLE, MS 39325",38-LAUDERDALE,6015272617,kimbusbea1@gmail.com,DSPY016238,2027-01-20
"Local Remedy, LLC","Local Remedy MS, LLC","1667 LAKELAND DR JACKSON, MS 39216",25-HINDS,6015066585,localremedyms@gmail.com,DSPY016825,2027-02-06
Dolphin Dayz LLC,,"3300 LADNIER RD GAUTIER, MS 39553",30-JACKSON,3173315807,dryan4238@gmail.com,DSPY017030,2027-03-02
"The Green Life Wellness, LLC.",,"2289 HIGHWAY 145 S QUITMAN, MS 39355",12-CLARKE,6014102995,pamelachapman30@yahoo.com,DSPY017512,2027-03-20
420 Holiday LLC,,"4001 DENNY AVE STE D APT 8 PASCAGOULA, MS 39581",30-JACKSON,2283285116,fareasam18@gmail.com,DSPY017130,2027-03-02
Cream Cannabis Company,,"4205 HIGHWAY 80 E PEARL, MS 39208",61-RANKIN,6019542594,corbanoj@gmail.com,DSPY017761,2027-04-11
LunaSol LLC,"Curio WMBE Fund, LLC","8101 Hacks Cross Rd STE 600 Olive Branch, MS 38654",17-DESOTO,6623120575,sederia@livelunasol.com,DSPY018017,2027-05-03
"Firefly Cannabis, LLC",,"6911 WASHINGTON AVE OCEAN SPRINGS, MS 39564",30-JACKSON,6017074039,JMitchell@hatlawfirm.com,DSPY017630,2027-04-10
"Green Spark, LLC","Green Spark, LLC","111 Main Street Water Valley, MS 38965",81-YALOBUSHA,3472477453,greensparkms@gmail.com,DSPY018281,2027-05-18
Youngs Farm Medical Dispensary,,"8487 HIGHWAY 19 N COLLINSVILLE, MS 39325",38-LAUDERDALE,6019382054,youngsfarmmeddis@gmail.com,DSPY017838,2027-04-28
WYZE 1 LLC,,"1415 Goodman Rd W Horn Lake, MS 38637",17-DESOTO,6629124033,wyld1415@gmail.com,DSPY018117,2027-05-03
Tortuga Cannabis Company inc,Tortuga Cultivators LLC,"867 HIGHWAY 11 B PETAL, MS 39465",18-FORREST,8328372993,info@tortugacannabiscompany.com,DSPY018318,2027-05-30
The Herbalist,,"2520 DENNY AVE PASCAGOULA, MS 39567",30-JACKSON,9852019797,dustinstone1@hotmail.com,DSPY018530,2026-07-19
"Mageedp, LLC","Mageedp, LLC","125 VETERANS MEMORIAL DR KOSCIUSKO, MS 39090",04-ATTALA,6018328289,kanwaljit8289@gmail.com,DSPY018704,2026-07-21
Dabbs Cannabis Dispensary LLC,,"228 N WOODLAND DR / (228 MS-35) FOREST, MS 39074",62-SCOTT,9014129440,afbbritton@yahoo.com,DSPY018462,2027-07-07
"SB O Springs, LLC","SNB Therapies, LLC, SAT, LLC, SB O Springs, LLC","718 BIENVILLE BLVD OCEAN SPRINGS, MS 39564",30-JACKSON,6624570088,doug@starbuds.us,DSPY018630,2026-07-19
Dabbs Cannabis Dispensary LLC,,"2132 Jackson Ave W Oxford, MS 38655",36-LAFAYETTE,6015942285,afbbritton@yahoo.com,DSPY018964,2026-08-10
"RymedyRx, LLC",,"15223 CREOSOTE RD GULFPORT, MS 39503",24-HARRISON,2286979388,bricutt@gmail.com,DSPY019224,2026-08-19
City Dispensary LLC,,"830 CITY AVE S RIPLEY, MS 38663",70-TIPPAH,6628322112,futurefamilyinvestments@gmail.com,DSPY019070,2026-08-10
Dabbs Cannabis Dispensary LLC,,"1024 W BEACON ST PHILADELPHIA, MS 39350",50-NESHOBA,9014129440,afbbritton@yahoo.com,DSPY019450,2026-09-13
"SB Greenwood, LLC","Three Rivers Investments, LLC, SNB Therapies, LLC, SAT, LLC, SB Greenwood, LLC","2218 HIGHWAY 82 W STE A GREENWOOD, MS 38930",42-LEFLORE,6624570088,doug@starbuds.us,DSPY019642,2026-10-17
"SB Tupelo, LLC","Three Rivers Investments, LLC, SNB Therapies, LLC, SAT, LLC, SB Tupelo, LLC","2546 MS 145 Saltillo, MS 38866",41-LEE,6624570088,doug@starbuds.us,DSPY019741,2026-10-24
HEMPNOTIZE MISSISSIPPI LLC,,"2159 E PASS RD GULFPORT, MS 39507",24-HARRISON,2489252681,rz@narcannabis.com,DSPY021024,2027-01-12
Oddfellow Dispensary,,"890 HIGHWAY 49 S RICHLAND, MS 39218",61-RANKIN,6015406251,srhdailey@gmail.com,DSPY019961,2026-12-05
WYZE 3 LLC,WYZE 3 LLC,"2300 S HARPER RD CORINTH, MS 38834",02-ALCORN,9015509255,wyld1415@gmail.com,DSPY020902,2027-01-09
The Green Standard Vicksburg LLC,Meteorite Holdings LLC,"3128 OLD BELDEN CIRCLE TUPELO, MS 38801",41-LEE,7084154087,daren@dnaholdingsllc.com,DSPY020075,2026-12-11
Green Akers Cannabis Inc,Green Akers Cannabis Inc,"1409 BATTLEGROUND DR IUKA, MS 38852",71-TISHOMINGO,6624238239,greenakersinc@yahoo.com,DSPY020171,2026-12-11
relief med inc,,"975, Highway 7 Holly Springs, MS 38635",47-MARSHALL,9292787792,reliefmedinc@gmail.com,DSPY020847,2027-01-09
Strong River Disp LLC,,"4952 OLD CANTON RD JACKSON, MS 39211",25-HINDS,6015942285,blanebritton@gmail.com,DSPY020525,2026-12-28
HT Moss Point LLC,FANNIN RELEAF,"17015 MS-63 STE B Moss Point, MS 39562",30-JACKSON,6015755510,srhdailey@gmail.com,DSPY020730,2027-01-04
Strong River Disp LLC,,"1624 S MAIN ST POPLARVILLE, MS 39470",55-PEARL RIVER,6015942285,blanebritton@gmail.com,DSPY020655,2026-12-28
"420 Holiday #2, LLC",,"19099 PINEVILLE RD STE F APT 8 LONG BEACH, MS 39560",24-HARRISON,2283285116,samfarea4@gmail.com,DSPY021124,2027-01-24
Fabpharm,Wise Solutions,"295 HIGHWAY 90 BAY ST LOUIS, MS 39520",23-HANCOCK,9857186907,geauxgreenms@gmail.com,DSPY021823,2027-02-28
"Rootdown 1, LLC",Rootdown LLC,"1703 HIGHWAY 1 S STE 311 GREENVILLE, MS 38701",76-WASHINGTON,6628327676,rootdown1@rootdownms.com,DSPY021424,2027-02-06
"Mississippi Provisions 4, LLC","Mississippi Provisions, LLC","3600 GAUTIER VANCLEAVE RD GAUTIER, MS 39553",30-JACKSON,3037092400,provisions4@msprovisions.com,DSPY021730,2027-02-20
Mississippi Green Spa LLC,"US Canna Mississippi, LLC","771 WATER ST BILOXI, MS 39530",24-HARRISON,9169174270,uscannams@gmail.com,DSPY022124,2027-03-20
"Kudzu Cannabis Company, LLC",,"93 S FRONTAGE RD MERIDIAN, MS 39301",38-LAUDERDALE,6014149333,jared@kudzucc.com,DSPY021938,2027-02-28
Mississippi Magnolia Canna West Point,"Airport Rd LLC, Mississippi Magnolia Canna LLC","17 AIRPORT RD WEST POINT, MS 39773",13-CLAY,6623640007,mississippimagnoliacanna@gmail.com,DSPY022013,2027-02-28
"Firefly Cannabis No. 2, LLC",,"11246 Old Highway 63 Lucedale, MS 39452",20-GEORGE,6017074039,jmitchell@hatlawfirm.com,DSPY022220,2027-03-29
Blunt Buds LLC,,"10576 OLD STAGE RD MOSS POINT, MS 39562",30-JACKSON,2125376082,tony@rollingboxmedia.com,DSPY023230,2026-07-24
OPEN MIND 1,,"6248 OLD CANTON RD JACKSON, MS 39211",25-HINDS,6012912100,lefleurpandr@yahoo.com,DSPY022325,2027-05-06
Bee's Buds Dispensary Wiggins,,"39 BASS RD WIGGINS, MS 39577",66-STONE,8505549411,b.beesbuds@gmail.com,DSPY022566,2027-05-15
"Local Remedy, LLC","Local Remedy MS, LLC","5078 HIGHWAY 51 N SENATOBIA, MS 38668",69-TATE,6015066585,localremedyms@gmail.com,DSPY022769,2027-05-20
Strong River Disp LLC,,"11201 GOODMAN RD OLIVE BRANCH, MS 38654",17-DESOTO,6015942285,blanebritton@gmail.com,DSPY023017,2027-06-24
Dabbs Cannabis Dispensary LLC,,"900 E RAILROAD ST APT 8 LONG BEACH, MS 39560",24-HARRISON,6015942285,blanebritton@gmail.com,DSPY022924,2027-06-13
Merit Creek LLC,,"2709 25TH AVE GULFPORT, MS 39501",24-HARRISON,6015942285,blanebritton@gmail.com,DSPY023324,2026-07-24
VooDoo Buds 2,,"1150 E PEACE ST # 208 CANTON, MS 39046",45-MADISON,3602186741,vdbs.canton@gmail.com,DSPY023445,2026-08-01
Blessed Goat,Blessed Goat LLC,"8288 FIRETOWER RD PASS CHRIS, MS 39571",24-HARRISON,9857885639,blessedgoat420@gmail.com,DSPY023524,2026-09-05
Green Dayz LLC,,"102 METROPLEX BLVD PEARL, MS 39208",61-RANKIN,6015944072,greendayzms@gmail.com,DSPY023861,2026-11-15
Diamondleaf,,"4321 LEISURE TIME DR DIAMONDHEAD, MS 39525",23-HANCOCK,9857186907,ginampepe@aol.com,DSPY024124,2027-01-15
Strong River Disp LLC,,"2007 HIGHWAY 72 E CORINTH, MS 38834",02-ALCORN,6015942285,therowems@gmail.com,DSPY024002,2026-12-06
Diamondleaf,,"16329 MS-603 Kiln, MS 39556",23-HANCOCK,9857186909,ginampepe@aol.com,DSPY023623,2026-10-28
"Canablume, LLC",,"7590 HIGHWAY 178 OLIVE BRANCH, MS 38654",17-DESOTO,6626953141,dbrown.canablume@gmail.com,DSPY023717,2026-11-08
Merit Creek LLC,,"7215 S SIWELL RD BYRAM, MS 39272",25-HINDS,6015942285,therowems@gmail.com,DSPY023925,2026-12-06
Merit Creek LLC,,"35 BYRD BLVD PETAL, MS 39465",18-FORREST,6015942285,therowems@gmail.com,DSPY024218,2027-01-30
Mary Jane & Herbs LLC,,"5875 WASHINGTON AVE OCEAN SPRINGS, MS 39564",30-JACKSON,6012977517,michaelhad@msn.com,DSPY024530,2027-03-27
Simpson Legion LLC,,"823 HIGHWAY 12 W STARKVILLE, MS 39759",53-OKTIBBEHA,6015942285,mcwallhousing@gmail.com,DSPY004853,2026-07-26
SARBJOT LLC,,"1295 N EASON BLVD TUPELO, MS 38804",41-LEE,6624222359,garyandkam@gmail.com,DSPY024441,2027-03-18
"Backwood Express, Inc.","Backwood Express, Inc","16598 HIGHWAY 603 KILN, MS 39556",23-HANCOCK,2283285116,samfarea4@gmail.com,DSPY024723,2027-05-16
420 Columbus LLC,,"2118 HIGHWAY 45 N COLUMBUS, MS 39705",44-LOWNDES,3132137500,alimohamed123083@icloud.com,DSPY024644,2027-04-07
Country Boys Investments LLC,Country Boys Investments LLC,"921 Cedar Lake Rd Biloxi, MS 39532",24-HARRISON,6017201473,cbdbiloxi@gmail.com,DSPY022424,2027-05-06
Simpson Legion,,"6152 U S HIGHWAY 98 HATTIESBURG, MS 39402",37-LAMAR,6015942285,mcwallhousing@gmail.com,DSPY016137,2027-01-19
Simpson Legion,,"2685 CRANE RIDGE DR JACKSON, MS 39216",25-HINDS,6015942285,blanebritton@gmail.com,DSPY019825,2026-11-30
DABBS 1,,"2080 S FRONTAGE RD STE 106 VICKSBURG, MS 39180",75-WARREN,6015942285,mcwallhousing@gmail.com,DSPY007875,2026-08-01
